#,Quote,Author
0,The only way to do great work is to love what you do.,Steve Jobs
1,"Success is not final, failure is not fatal: it is the courage to continue that counts.",Winston Churchill
2,Believe you can and you're halfway there.,Theodore Roosevelt
3,Act as if what you do makes a difference. It does.,William James
4,What you get by achieving your goals is not as important as what you become.,Zig Ziglar
5,Dream big and dare to fail.,Norman Vaughan
6,"Do what you can, with what you have, where you are.",Theodore Roosevelt
7,Everything you’ve ever wanted is on the other side of fear.,George Addair
8,Hardships often prepare ordinary people for an extraordinary destiny.,C.S. Lewis
9,Don’t watch the clock; do what it does. Keep going.,Sam Levenson
10,Keep your face always toward the sunshine—and shadows will fall behind you.,Walt Whitman
11,It always seems impossible until it’s done.,Nelson Mandela
12,"Opportunities don't happen, you create them.",Chris Grosser
13,"Try not to become a man of success, but rather become a man of value.",Albert Einstein
14,Success usually comes to those who are too busy to be looking for it.,Henry David Thoreau
15,Don’t be afraid to give up the good to go for the great.,John D. Rockefeller
16,"I find that the harder I work, the more luck I seem to have.",Thomas Jefferson
17,Success is walking from failure to failure with no loss of enthusiasm.,Winston Churchill
18,"If you are not willing to risk the usual, you will have to settle for the ordinary.",Jim Rohn
19,All progress takes place outside the comfort zone.,Michael John Bobak
20,"Whether you think you can or you think you can’t, you’re right.",Henry Ford
21,The future belongs to those who believe in the beauty of their dreams.,Eleanor Roosevelt
22,Don’t let yesterday take up too much of today.,Will Rogers
23,You miss 100% of the shots you don’t take.,Wayne Gretzky
24,"I have not failed. I’ve just found 10,000 ways that won’t work.",Thomas Edison
25,A journey of a thousand miles begins with a single step.,Lao Tzu
26,What lies behind us and what lies before us are tiny matters compared to what lies within us.,Ralph Waldo Emerson
27,"Strive not to be a success, but rather to be of value.",Albert Einstein
28,Success is how high you bounce when you hit bottom.,George S. Patton
29,Keep going. Be all in.,Bryan Hutchinson
30,Limit your “always” and your “nevers.”,Amy Poehler
31,Nothing will work unless you do.,Maya Angelou
32,"If opportunity doesn’t knock, build a door.",Milton Berle
33,"The harder the conflict, the greater the triumph.",George Washington
34,Turn your wounds into wisdom.,Oprah Winfrey
35,The best way to predict the future is to create it.,Peter Drucker
36,Don’t wait. The time will never be just right.,Napoleon Hill
37,"If you want to lift yourself up, lift up someone else.",Booker T. Washington
38,Start where you are. Use what you have. Do what you can.,Arthur Ashe
39,The secret of getting ahead is getting started.,Mark Twain
40,It does not matter how slowly you go as long as you do not stop.,Confucius
41,"Everything has beauty, but not everyone sees it.",Confucius
42,"Quality is not an act, it is a habit.",Aristotle
43,Well done is better than well said.,Benjamin Franklin
44,With the new day comes new strength and new thoughts.,Eleanor Roosevelt
45,Either you run the day or the day runs you.,Jim Rohn
46,The way to get started is to quit talking and begin doing.,Walt Disney
47,"If you can dream it, you can do it.",Walt Disney
48,"Don’t count the days, make the days count.",Muhammad Ali
49,The best revenge is massive success.,Frank Sinatra
50,Do one thing every day that scares you.,Eleanor Roosevelt
51,"Difficulties in life are intended to make us better, not bitter.",Dan Reeves
52,Go confidently in the direction of your dreams.,Henry David Thoreau
53,Knowing is not enough; we must apply.,Johann Wolfgang von Goethe
54,The only limit to our realization of tomorrow is our doubts of today.,Franklin D. Roosevelt
55,Change your thoughts and you change your world.,Norman Vincent Peale
56,"Perfection is not attainable, but if we chase perfection we can catch excellence.",Vince Lombardi
57,The purpose of our lives is to be happy.,Dalai Lama
58,Life is what happens when you're busy making other plans.,John Lennon
59,Get busy living or get busy dying.,Stephen King
60,"You only live once, but if you do it right, once is enough.",Mae West
61,Many of life’s failures are people who did not realize how close they were to success when they gave up.,Thomas Edison
62,If life were predictable it would cease to be life.,Eleanor Roosevelt
63,"Life is really simple, but we insist on making it complicated.",Confucius
64,"In the end, we only regret the chances we didn’t take.",Lewis Carroll
65,"Life is short, and it is up to you to make it sweet.",Sarah Louise Delany
66,The unexamined life is not worth living.,Socrates
67,Turn your dreams into plans.,Unknown
68,Happiness depends upon ourselves.,Aristotle
69,"Keep smiling, because life is a beautiful thing.",Marilyn Monroe
70,The big lesson in life is never be scared of anyone or anything.,Frank Sinatra
71,Life is either a daring adventure or nothing at all.,Helen Keller
72,"To live is the rarest thing in the world. Most people exist, that is all.",Oscar Wilde
73,"Success is not in what you have, but who you are.",Bo Bennett
74,"Your time is limited, so don’t waste it living someone else’s life.",Steve Jobs
75,Everything you can imagine is real.,Pablo Picasso
76,"Whatever you are, be a good one.",Abraham Lincoln
77,The power of imagination makes us infinite.,John Muir
78,Try to be a rainbow in someone’s cloud.,Maya Angelou
79,Do what you feel in your heart to be right.,Eleanor Roosevelt
80,The only true wisdom is in knowing you know nothing.,Socrates
81,We become what we think about.,Earl Nightingale
82,The mind is everything. What you think you become.,Buddha
83,An unexamined life is not worth living.,Socrates
84,Happiness is not something ready made. It comes from your own actions.,Dalai Lama
85,The journey not the arrival matters.,T.S. Eliot
86,"Do not go where the path may lead, go instead where there is no path and leave a trail.",Ralph Waldo Emerson
87,"Success is getting what you want, happiness is wanting what you get.",W.P. Kinsella
88,The best way out is always through.,Robert Frost
89,It is never too late to be what you might have been.,George Eliot
90,You must be the change you wish to see in the world.,Mahatma Gandhi
91,The only journey is the one within.,Rainer Maria Rilke
92,"What we think, we become.",Buddha
93,Light tomorrow with today.,Elizabeth Barrett Browning
94,"Aim for the moon. If you miss, you may hit a star.",W. Clement Stone
95,Keep your eyes on the stars and your feet on the ground.,Theodore Roosevelt
96,Do not let making a living prevent you from making a life.,John Wooden
97,The difference between winning and losing is most often not quitting.,Walt Disney
98,You define your own life. Don’t let others write your script.,Oprah Winfrey
99,"Success is liking yourself, liking what you do, and liking how you do it.",Maya Angelou
100,"Stay hungry, stay foolish.",Steve Jobs